	eng	nld
20559	Nothing can be worse than that.	Niets kan erger zijn dan dat.
40883	I have long blonde hair.	Ik heb lang blond haar.
1188	Tom's body was found in a swamp.	Toms lichaam werd gevonden in een moeras.
2376	It's almost noon.	Het is bijna 12 uur.
24736	I have a full-time job.	Ik heb een voltijdse baan.
42016	Tom is waiting for someone.	Thomas wacht op iemand.
50021	I really need to go.	Ik moet echt weg.
45978	It's a big step.	Het is een grote stap.
36450	I didn't expect you to be here.	Ik had niet verwacht dat je hier zou zijn.
12376	I can't walk fast, but I can walk for a long time.	Ik kan niet snel wandelen, maar wel lang.
69269	Tom hasn't said a thing all day.	Tom heeft de hele dag nog niets gezegd.
56241	I had fun talking to Tom.	Ik vond het leuk om met Tom te praten.
48746	Have you read today's paper yet?	Hebben jullie de krant van vandaag al gelezen?
17921	I turned the lamp off and fell asleep.	Ik deed de lamp uit en viel in slaap.
54296	You're kidding, right?	Je maakt een grapje, niet?
51538	Please write down your name.	Schrijf uw naam alstublieft.
30944	Tom filled the bucket with ice.	Tom vulde de emmer met ijs.
53233	Perhaps I ought to tell Tom what happened.	Misschien moet ik Tom maar eens vertallen wat er is gebeurd.
54779	Tom is upstairs with the kids.	Tom is boven met de kinderen.
19989	This fish is big.	Deze vis is groot.
62104	It's a nice day.	Het is een mooie dag.
17809	This is partly true.	Dit is gedeeltelijk waar.
33711	Tom seemed really nervous.	Tom lijkt heel nerveus.
33140	I'm not feeling well.	Ik voel me niet lekker.
2144	Every time I go to see him, he is in bed.	Altijd wanneer ik hem bezoek, is hij in bed.
2237	Please get there as fast as you can.	Wees daar zo snel als je kan.
21574	Do you feel nauseous?	Voel je je misselijk?
28340	We were just being honest.	We waren alleen maar eerlijk.
51225	Tom's condition worsened.	De toestand van Tom verslechterde.
41179	How can you ask me that?	Hoe kun je me dat vragen?
39040	I don't think that you know what you're asking.	Ik denk niet dat je weet wat je vraagt.
19871	I've searched everywhere for a small apartment.	Ik heb overal gezocht naar een klein appartement.
29220	When was the last time you talked with Tom?	Wanneer praatte je voor het laatst met Tom?
19363	Did someone turn up the heat?	Heeft iemand de verwarming hoger gezet?
59739	My brother seems to enjoy himself at college.	Mijn broer lijkt zich te vermaken aan de universiteit.
19665	Why were you in Australia?	Waarom was je in Australië?
51612	Anybody can do that.	Dat kan iedereen doen.
65630	This is by far the best.	Dit is veruit de beste.
16088	That's not possible.	Dat is niet mogelijk!
45252	What else can go wrong?	Wat kan er nog mislopen?
58078	Tom goes to church every Sunday morning.	Tom gaat elke zondagochtend naar de kerk.
38676	We'll visit you tomorrow.	Morgen bezoeken we jullie.
20170	You ain't seen nothing yet.	Dit is nog niks.
54843	Tom is probably still unconscious.	Tom is waarschijnlijk nog steeds bewusteloos.
17524	Does anyone know what this is?	Weet iemand wat dit is?
46679	Tom has been putting on some weight.	Tom is wat aangekomen.
68434	He managed to escape.	Hij wist te ontsnappen.
66153	She baked me a cake.	Ze bakte een cake voor mij.
69830	I am allergic to aspirin, penicillin, and sulfa drugs.	Ik ben allergisch voor aspirine, penicilline en sulfamedicijnen.
41172	If I'd done my best, I might've succeeded.	Als ik mijn best had gedaan, was het me misschien gelukt.
1039	I wrote the phone number on the writing pad.	Ik heb het telefoonnummer op het notitieblok geschreven.
9646	Tom is doing that already.	Tom doet dat al.
26257	I know what I want. I just haven't found it yet.	Ik weet wat ik wil. Ik heb het alleen nog niet gevonden.
2748	The weather was gorgeous.	Het weer was prachtig.
66978	Do you want more ice?	Wil je meer ijs?
2048	Do you like strawberry wine?	Houden jullie van aardbeienwijn?
34212	Why aren't you working?	Waarom werk je niet?
40301	Can you manage to carry the suitcase by yourself?	Kun je zelf je koffer dragen?
57843	I received your letter.	Ik heb uw brief ontvangen.
25212	Tom did it, too.	Tom heeft het ook gedaan.
35593	Come on, touch it.	Kom op, je mag het wel aanraken.
44451	Tom has just kicked the bucket.	Tom heeft net zijn laatste adem uitgeblazen.
49480	I've lived here for years.	Ik heb hier jaren gewoond.
11717	Tom put the key on the table.	Tom legde de sleutel op de tafel.
67335	Tom had mixed feelings.	Tom had gemengde gevoelens.
