	eng	kor
1326	The police believe that Tom acted alone.	경찰은 톰이 혼자인 척 했던 것이라고 믿고 있어.
1153	Do you still live where you used to?	너 아직도 전에 살았던 곳에 살아?
1406	Tom started getting mad.	톰은 화가 나기 시작했다.
3621	Have you eaten dinner yet?	아직 저녁을 안 드셨나요?
3357	That's my main focus.	그게 내 주된 관심사야.
286	You may use my computer if you want to.	내 컴퓨터 쓰고 싶으면 써도 돼.
1069	I used to do that every day.	난 그걸 매일 했었어.
2059	When was the last time you saw that cat?	저 고양이를 마지막으로 봤을 때가 언제야?
2738	Your advice has been very helpful.	네 조언은 정말 도움이 되었어.
909	Language changes as human beings do.	인간이 바뀌듯 언어도 변화해.
1121	I don't like Tom anymore.	나는 톰을 더 이상 안 좋아해.
2320	I ordered five books on economics from London.	나는 경제학 책을 다섯권 런던에 주문했다.
2569	I have nothing to lose.	손해 볼 게 없다.
1519	I wanted to spend time with my children.	난 내 아이들과 시간을 보내고 싶었어.
1374	I'm looking forward to traveling with Tom.	나는 톰과 같이 여행하기를 기대하고 있다.
2146	Tom works for a tech company.	톰은 기술 회사에 일하고 있어.
3829	The dog stopped barking.	개가 짖는 걸 멈췄어.
1706	He is in his library.	그는 그의 서재에 있다.
3558	I like to travel alone.	나는 혼자 여행하는 것을 좋아해.
682	Tom and Mary said they were on our side.	톰과 메리는 우리의 편이라고 말했어.
3630	You need good equipment to climb that mountain.	저 산에 오르려면 좋은 장비가 있어야 돼.
289	Have you ever been stuck in an elevator?	엘레베이터에 갇혀본 적 있어?
77	Only four horses competed in the race.	오직 네 마리 말만 경주에 참가했어.
1288	This building has a green roof.	이 건물의 지붕은 초록색이야.
3166	This is a complete distortion of the facts.	이건 사실에 대한 완전한 왜곡이야.
2870	Thousands of people died during the plague.	전염병 유행중에 수천명의 사람들이 죽었어.
2432	Tom is smoking a cigar.	톰은 담배를 피우고 있어.
2462	This word isn't French.	이 단어는 프랑스어가 아니야.
585	Tom is eating potato chips.	톰은 감자칩을 먹고 있어.
3217	Tom wondered what Mary wanted to do.	톰이 메리가 뭘 원하는지 굼금해하더라.
3627	The gravity of the moon is one-sixth of that of the earth.	달의 중력은 지구의 1/6배야.
365	I'm the only one who can do that.	내가 그걸 할 수 있는 유일한 사람이군.
1494	You can't force yourself to forget something.	기억을 억지로 잊게 할 수는 없어.
38	I watched Tom eat.	톰이 먹는 걸 지켜봤어.
1081	I take back what I said.	아까 한 말 취소야.
3168	How many children were injured?	아이들은 몇 명 다쳤어?
391	All participants will receive a T-shirt.	모든 참가자는 티셔츠를 받을 것입니다.
3286	I don't want to celebrate my birthday.	난 내 생일을 축하하고 싶지 않다.
3729	Do you still suffer from headaches?	아직도 두통에 시달리고 있어?
3732	I felt sad for no reason.	나는 이유 없이 슬펐어.
832	I'm sorry, but there's no other way.	미안하지만, 이거 말곤 다른 방법이 없어.
2981	Men like to look masculine.	남자들은 남성적으로 보이고 싶어한다.
2834	This bread looks delicious.	이 빵 맛있어 보이네.
2188	Tom isn't a good manager.	톰은 좋은 매니저가 아니야.
3408	You're quite forgetful.	너 건망증이 좀 있구나.
1496	I want to meet Tom's parents.	나는 톰의 부모를 만나고 싶어.
1487	What are their true intentions?	그 사람들의 실제 무슨 속셈인 거야?
1073	Someone stole my watch.	누군가 내 시계를 훔쳤어.
2434	I really appreciate all your help.	도와 주셔서 아주 고맙습니다.
2558	Is there something that you want to say?	뭐 할 말이라도 있냐고.
1228	A blood vessel burst inside his brain.	그 사람의 뇌 안에 혈관이 터졌어.
2705	Tom certainly thinks so.	톰은 틀림없이 그렇게 생각해.
1331	To be honest with you, I don't think I can do that.	솔칙히 말하면 나는 내가 할 수 있을거란 자신이 없어.
1599	This magnet is very powerful.	이 자석은 너무 강해.
546	I am very concerned about his health.	난 그 사람의 건강이 너무 걱정돼.
2257	Tom spends most of his time sitting on the porch.	톰은 대부분의 시간을 현관에 앉는 걸로 보내고 있어.
3608	I had difficulty in solving this problem.	이 문제를 해결하는 데 곤욕을 겪고 있다
1744	Try to see the problem from her point of view.	그 사람의 관점으로 문제를 보려고 노력하자.
883	I recognize those people.	나 저 사람들 알아.
3003	Tom wants to learn how to play piano.	톰은 피아노 치는 법을 배우고 싶어해.
717	What language do they speak in your country?	네 나라에서는 무슨 언어로 말해?
1463	We'll be right here.	우린 바로 여기 있을 거야.
3788	Tom swims well for his age.	톰은 나이에 비해 수영을 잘해.
1080	Tom sat two rows ahead of me.	탐은 나보다 2줄 앞에 앉았다.
2836	If I were you, I'd call a doctor.	내가 만약 너라면 의사를 부를 텐데.
1883	Tom was afraid to be here.	톰이 여기에 있길 무서워 했어.
3727	Tom has some experience in teaching French.	톰은 프랑스어를 가르친 경험이 있어.
2488	That's all I'm doing.	그게 내가 하고 있는 전부야.
1662	I don't care what you thought.	네가 생각한 바에 난 개의치 않는다.
922	Your hand is shaking.	네 손이 떨리고 있어.
1715	Tom wondered why there was a dog in his house.	톰은 왜 자기 집에 개가 있었는지 알고 싶었다.
3105	Tom usually drinks beer at parties.	톰은 보통 파티에서 맥주를 마셔.
2699	We were in Australia last week.	우린 지난주에 호주에 있었어.
2707	Things are the same, but people have changed.	상황은 같지만 사람들은 바뀌었다.
249	God is always watching over us.	신은 항상 우리를 지켜보고 있어.
1454	I don't play the piano as often as I used to.	나는 피아노를 예전만큼 자주는 안 쳐.
1838	Somebody was talking to Tom.	누군가 톰한테 말을 걸고 있었어.
1162	What convinced you to change your mind?	뭐 때문에 네 마음이 바뀌었어?
1195	What's your Skype username?	네 스카이프 사용자 이름은 뭐야?
3713	I didn't know you used to teach French.	나는 네가 프랑스어를 가르쳤는지 몰랐어
2191	I know Tom is a lazy kid.	난 톰이 게으른 애라는 걸 알고 있어.
262	Tell me what's going on.	무슨 일인지 얘기해 주세요.
284	It's really hard to stop.	그만 두는 건 너무 어려워.
6	I asked Tom why he wanted to study French.	나는 톰에게 왜 프랑스어를 배우고자했는지 물어봤다.
1071	I'll never tell you.	나는 결코 너에게 말하지 않을 것이다.
405	You, too, can learn French.	너도 마찬가지로 프랑스어를 배울 수 있어.
89	Tom may use my video camera if he wants to.	톰이 원한다면, 내 비디오 카메라를 쓸 수 있다.
2075	Is there anything you want to tell me?	뭔가 하고 싶은 얘기 없어?
2682	Nothing seems to grow in this soil.	이 흙에서는 아무것도 자라지 않는 것으로 보인다.
1799	He can speak and write French.	그는 불어로 말하고 쓸 수 있다.
3258	I dreamed I kissed Tom.	난 톰이랑 키스하는 꿈을 꿨어.
2475	Tom wouldn't let them in.	톰은 그들을 못 들어 가게 했다.
1043	Tom kicked the ball really hard.	톰은 정말 세게 공을 찼다.
2519	Are you enjoying your weekend?	주말 즐겁게 잘 보내고 있어?
2494	Having been convicted of murder, he was sentenced to life imprisonment.	그는 살인죄로 종신형을 선고 받았다.
853	You are not a good person. You know that, right?	넌 그다지 좋은 사람이 아냐. 너도 그건 알고 있지?
1185	We shouldn't've given up.	우린 포기하지 말았어야 했어.
516	I had to wait 20 minutes on the phone before reaching the customer service rep.	통화해서 고객 서비스 상담원에게 말하기 전까지 연결 대기 큐에서 20분이나 기다렸어야 했어.
2762	Tom is married to a Canadian named Mary.	톰은 메리라는 캐나다 사람이랑 결혼했어.
3686	I think that Tom is distinguished.	나는 톰이 뛰어나다고 생각한다.
3325	Tom roasted the marshmallow over the fire.	톰은 마시멜로를 불에 구웠다.
2975	I sent Tom a text.	난 톰한테 문자 보냈어.
3741	Tom wakes up at six-thirty every morning.	톰은 아침마다 여섯 시 삼십 분에 일어나.
3260	To tell the truth, he is not a human being.	진실을 말하자면, 그는 인간이 아냐.
2237	I don't like cafeteria food very much.	난 식당 음식을 그다지 좋아하지 않아.
1951	Tom is swimming in the neighbor's pool.	톰은 이웃의 수영장에서 수영하고 있다.
2067	Tom hasn't finished his homework yet.	톰은 아직 숙제를 안 했다.
2898	Did Tom tell you what to do?	톰이 네게 뭘 해야 할지를 말해줬니?
1364	I thought that Tom didn't like cats.	난 톰이 고양이를 싫어하는 줄 알았어.
525	We're still eating.	우린 아직도 먹는 중이야.
3226	How long will you be staying there?	거기서 얼마나 기다리고 있을 거야?
2526	I really love French books.	난 프랑스 책들을 정말 좋아해.
3530	Are these yours, Tom?	탐, 이것들이 너의 것이야?
3469	He came down to breakfast.	그는 아침식사를 하러 내려왔다.
1439	Have you ever seen Tom not wearing glasses?	톰이 안경 벗은 거 본 적 있어?
2351	If it is worth doing at all, it is worth doing well.	할 가치가 있는 일이면, 제대로 하십시오.
1605	How long can a person live without water?	사람은 물 없이 얼마나 살 수 있어?
3303	If it were not for water, human life would be impossible.	물이 없었다면 인류의 생존은 가능하지 않았을 겁니다.
2867	What in the world do you think you're doing?	세상에 네가 뭘 하고 있다고 생각하는 거니?
3728	No one recognized me.	누구도 날 못 알아봤어.
