	eng	por
14064	Tom likes watching action movies.	Tom gosta de assistir a filmes de ação.
2915	I'm driving to Boston tomorrow.	Eu vou a Boston amanhã.
2199	Didn't you know there's more than one way to do this?	Você não sabia que há mais de um jeito de fazer isso?
907	The train was about to leave when I arrived at the station.	O trem estava prestes a partir quando cheguei à estação.
57149	We hope it'll end.	Esperamos que isso acabe.
163489	Are you going down there?	Você vai lá embaixo?
55110	You don't know where he is.	Você não sabe onde ele está.
67506	My computer is slow.	O meu computador está lento.
10496	Tom worked with Mary at a supermarket.	Tom trabalhava com Mary num supermercado.
88739	Irene Pepperberg, a researcher at Northwestern University, is discovering that a parrot can not only mimic people but also learn the meaning of words.	A Irene Pepperberg, investigadora da Universidade Northwestern, está a constatar que os papagaios podem não só imitar as pessoas, mas também aprender o significado das palavras.
42808	Tom and I aren't going to sing that song.	Eu e Tom não vamos cantar essa música.
8824	How was your night?	Como foi a sua noite?
17458	I hired some men to help me build my house.	Eu contratei alguns homens para me ajudar a construir minha casa.
92992	I went fishing three times last month.	Eu fui pescar três vezes no mês passado.
69197	Tom is about to die.	Tom está prestes a morrer.
81960	My neighbors are very noisy.	Meus vizinhos são muito barulhentos.
63887	I think that's something that's very important.	Eu acho que é algo muito importante.
4254	Tom says he likes Boston better than Chicago.	Tom diz que gosta mais de Boston que de Chicago.
138771	I didn't like my French teacher.	Eu não gostava da minha professora de francês.
72643	I don't feel like doing my math homework now.	Não estou com vontade de fazer minha tarefa de matemática agora.
167072	Physically, the two men were very different.	Fisicamente, os dois homens eram muito diferentes.
9715	Mary is Tom's wife.	Maria é a esposa de Tom.
23755	I've done very well.	Eu fiz muito bem.
28175	I know that you can do it.	Eu sei que vocês podem fazer isso.
60063	Tom is one of the luckiest guys that I know.	Tom é um dos caras mais sortudos que eu conheço.
154938	We aren't too far from Boston.	Não estamos muito longe de Boston.
31254	These questions can be answered quite simply.	Essas questões podem ser respondidas bem simplesmente.
127602	Tom should've done this yesterday.	Tom deveria ter feito isto ontem.
131733	He's been grounded for a week.	Ele foi colocado de castigo por uma semana.
83207	The ballots are being counted.	As cédulas estão sendo contadas.
117738	I keep a diary in French.	Eu escrevo um diário em francês.
115057	Is this your car?	Esse é o seu carro?
5800	Do you think I don't know what happened?	Tu achas que não sei o que aconteceu?
105788	Where would you like to live?	Onde você gostaria de morar?
51846	I am badly in need of your help.	Preciso muito da tua ajuda.
160711	Both of them survived.	Nenhum dos dois morreu.
73630	I need to buy some rat poison.	Preciso comprar algum raticida.
73841	Tom drove back to his office.	Tom voltou ao seu escritório.
114577	Are you ready to go out?	Vocês estão prontos para sair?
8348	Were you the one who let the dog in?	Foi você que deixou o cachorro entrar?
48834	It was a little embarrassing.	Foi um pouco constrangedor.
117472	Have you ever built a house?	Você já construiu uma casa?
48045	Tom said that he knew everyone there.	Tom disse que conhecia todo mundo lá.
53911	I'll buy a Ford.	Eu comprarei um Ford.
53981	Where did you find that strange thing?	Onde você encontrou esse negócio estranho?
79715	Leave the matter to me.	Deixe esse assunto comigo.
34718	How have you furnished your apartment?	Como é que vocês mobiliaram o apartamento?
44277	Tom's guardian angel must have been watching over him.	O anjo da guarda do Tom deveria estar a olhar por ele.
44231	A deer jumped out in front of Tom's car.	Um cervo saltou na frente do carro do Tom.
38941	I don't need you anymore.	Já não preciso de você.
91194	Tom says you're a bad influence on me.	Tom diz que você é uma má influência para mim.
20551	Yesterday, I put honey in my tea.	Ontem pus mel no meu chá.
54851	Everyone waited in silence.	Todos esperaram em silêncio.
84009	Tom is very trustworthy.	Tom é muito confiável.
144101	This isn't correct.	Isto não é certo.
57776	No one knows where we are.	Ninguém sabe onde nós estamos.
28561	Tom doesn't like it.	Tom não gosta disso.
26141	Tom should stay at home.	O Tom deveria ficar em casa.
102947	I'm sure Tom's fine.	Tenho certeza de que Tom está bem.
59010	You seem very tired.	Você parece estar muito cansada.
135056	It's time to sleep.	É hora de dormir.
