	eng	ell
4508	I'll assist in any way I can.	Θα βοηθήσω με οποιονδήποτε τρόπο μπορώ.
14161	People love to fight.	Στους ανθρώπους αρέσει να μαλώνουν.
2318	The roof of the church needs repairs.	Η σκεπή αυτής της εκκλησίας χρειάζεται επισκευή.
16519	Can you give me a better explanation?	Μπορείτε να μου δώσετε μια καλύτερη εξήγηση;
5700	Tom's condition is deteriorating rapidly.	Η κατάσταση του Τομ επιδεινώνεται ραγδαία.
16401	Tom thought that Mary was depressed.	Ο Τομ νόμιζε ότι η Μαίρη είχε κατάθλιψη.
2686	Tom arrived here last night.	Ο Τομ έφτασε εδώ χτες το βράδυ.
16949	When did you graduate from Harvard?	Πότε αποφοίτησες από το Χάρβαρντ;
584	Tom is a writer.	Ο Τομ είναι συγγραφέας.
5822	Tom and Mary were married for three years.	Ο Θωμάς και η Μαρία ήταν παντρεμένοι τρία χρόνια.
9135	Almost nobody knows this.	Σχεδόν κανείς δε το ξέρει αυτό...
7117	She intended to go shopping.	Σκόπευε να πάει για ψώνια.
11469	Let's try another approach.	Ας δοκιμάσουμε μια άλλη προσέγγιση.
561	Tom doesn't want to learn French.	Δε θέλει να μάθει Γαλλικά ο Τομ.
11695	I'm not very busy.	Δεν είμαι πολύ απασχολημένος.
1677	Who is your teacher?	Ποιος είναι ο δάσκαλός σου;
15318	Her mother knocked on the door.	Η μητέρα της κτύπησε στην πόρτα.
15281	The water is not drinkable.	Το νερό δεν είναι πόσιμο.
2673	It's all the same to me.	Μου είναι το ίδιο.
15210	I don't have that much money.	Δεν έχω τόσο πολλά χρήματα.
10921	Tom can read well.	Ο Τομ μπορεί και διαβάζει καλά.
3747	Tom changed his mind at the last minute.	Ο Τομ άλλαξε τη γνώμη του το τελευταίο λεπτό.
3489	Are you sure Tom isn't busy?	Είστε σίγουρη ότι ο Τομ δεν είναι απασχολημένος;
15583	Tom must find work.	Ο Τομ πρέπει να βρει δουλειά.
15322	Tell us about Tom.	Πες μας για τον Τομ.
4490	We're willing to negotiate.	Είμαστε πρόθυμοι να διαπραγματεύσουμε.
12174	Don't leave me like this.	Μη μ' αφήσετε έτσι.
1253	Does Tom often borrow your car?	Δανείζεται συχνά τ' αυτοκίνητό σας ο Τομ;
10688	Tom told Mary the truth.	Ο Τομ είπε στη Μαίρη την αλήθεια.
11262	No one loves you as much as I do.	Καμιά δε σας αγαπάει όσο εγώ.
7890	Tom's a lot bigger than me.	Ο Θωμάς είναι πολύ μεγαλύτερος από εμένα.
4112	Tom will find you.	Θα σε βρει ο Τομ.
3099	It is not clear who wrote this letter.	Δεν είναι ξεκάθαρο ποιος έγραψε αυτό το γράμμα.
15202	Are you sure I'm the only Canadian here?	Είστε σίγουρη ότι είμαι η μοναδική Καναδή εδώ;
7336	Everyone looked at Tom.	Όλοι κοίταξαν τον Τομ.
8502	You swim better than me.	Κολυμπάς καλύτερα από μένα.
11092	Tom married a Canadian girl.	Ο Τομ παντρεύτηκε μια Καναδή.
8209	We won't change anything.	Δε θ' αλλάξουμε τίποτα.
121	Tom and Mary disagree.	Ο Τομ και η Μαίρη διαφωνούν.
14528	See you in Boston.	Τα λέμε στη Βοστώνη.
14505	Tom hid behind the green car.	Ο Τομ κρύφτηκε πίσω απ' το πράσινο αμάξι.
14506	Are you sure I'm the only Canadian here?	Είστε σίγουρος ότι είμαι ο μοναδικός Καναδέζος εδώ;
4937	I know that you work hard.	Το ξέρω πως εργάζεστε σκληρά.
16787	We haven't seen Tom in weeks.	Δεν έχουμε δει τον Τομ εδώ και βδομάδες.
2590	I can't wait because I'm in a hurry.	Δεν μπορώ να περιμένω, επειδή βιάζομαι.
8182	Tell me about your son.	Πες μου για τον γιο σου.
277	I thought you were a Canadian.	Νόμιζα πως ήσασταν Καναδέζα.
8966	We all know what Tom did.	Όλοι γνωρίζουμε τι έκανε ο Τομ.
11449	This is the truth.	Αυτή είναι η αλήθεια.
9450	Blue is my favorite color.	Το μπλε είναι το αγαπημένο μου χρώμα.
7254	Are you taller than Tom?	Είστε ψηλότεροι απ' τον Τομ;
12728	It is almost three.	Τρεις παρά πήγε η ώρα.
873	I don't trust this driver.	Δεν εμπιστεύομαι αυτό τον οδηγό.
1641	Be careful not to trip over this rock.	Πρόσεξε μη σκοντάψεις σε αυτό το βράχο.
1688	I finally found out the truth yesterday.	Επιτέλους έμαθα την αλήθεια χθες.
16008	I can't understand.	Δεν μπορώ να καταλάβω.
6093	I don't want to go to school.	Δε θέλω να πάω σχολείο.
5378	I'm not very good at French.	Δεν είμαι και πολύ καλός στα Γαλλικά.
2850	What would you do if you were in my place?	Τι θα έκανες, αν ήσουν στη θέση μου;
7891	Tom has a daughter.	Ο Τομ έχει κόρη.
2472	This is one of the best beaches in Australia.	Αυτή είναι μία απ' τις καλύτερες παραλίες στην Αυστραλία.
9179	I assumed you were Canadian.	Υπέθεσα πως ήσαστε Καναδέζος.
15465	Tom said they were lucky.	Ο Τομ είπε ότι ήταν τυχερά.
14724	Tom is at least a head taller than me.	Ο Τομ είναι τουλάχιστον ένα κεφάλι ψηλότερός μου.
2768	Tom gave me a French dictionary.	Ο Τομ μου 'δωσε ένα λεξικό Γαλλικών.
5077	The night was cold.	Έκανε κρύο τη νύχτα.
15222	You're the only Canadian in our school.	Είσαι ο μόνος Καναδός στο σχολείο μας.
13664	Please give me this book.	Σε παρακαλώ, δώσ' μου αυτό το βιβλίο.
7695	These aren't fish.	Δεν είναι ψάρια αυτά.
3807	Tom likes working hard.	Στον Τομ αρέσει να δουλεύει σκληρά.
14437	Tom often drinks tea.	Ο Θωμάς πίνει συχνά τσάϊ.
16195	How many days do you want to stay in Boston?	Πόσες μέρες θέλετε να μείνετε στη Βοστώνη;
12327	Where is my pencil?	Πού είναι το μολύβι μου;
2836	Give me one more chance.	Δώσε μου ακόμα μία ευκαιρία.
3563	Tell me you'll do it.	Πες μου ότι θα το κάνεις.
12258	I saw a house in the distance.	Είδα από πολύ μακριά ένα σπίτι.
15280	Europe is a continent.	Η Ευρώπη είναι ήπειρος.
10716	She is younger than me.	Είναι μικρότερη από μένα.
2975	You're much smarter than I am.	Είσαι πολύ πιο έξυπνος από μένα.
12091	Your car's ready.	Το αυτοκίνητό σου είναι έτοιμο.
354	Tom sold Mary his car.	Ο Τομ πούλησε στη Μαίρη τ' αμάξι του.
13927	Tom isn't too young, is he?	Ο Τομ δεν είναι και πολύ νέος· έτσι δεν είναι;
5759	Tom bought Mary a small gift.	Ο Τομ αγόρασε ένα μικρό δώρο στη Μαίρη.
12488	Tom and I did that together when we were children.	Ο Τομ και εγώ το κάναμε αυτό μαζί όταν είμασταν παιδιά.
12557	Do you like white wine?	Σου αρέσει το λευκό κρασί;
10423	I expect your help.	Αναμένω τη βοήθειά σου.
9851	Do you think Tom can help you?	Νομίζετε ότι ο Τομ μπορεί να σας βοηθήσει;
9994	She is a wonderful woman.	Είναι μια υπέροχη γυναίκα.
5778	I didn't tell anyone.	Δεν το είπα σε κανέναν.
16987	Tom is very good at his job.	Ο Τομ είναι πολύ καλός στη δουλειά του.
13539	Is everybody ready for the trip?	Είναι όλοι έτοιμοι για το ταξίδι;
1329	Tom is at lunch with Mary.	Ο Τομ παίρνει το δείπνο του με τη Μαίρη.
9861	Give me everything you've got.	Δώσ' μου ό,τι έχεις.
9631	Tom is looking tired.	Ο Τομ φαίνεται κουρασμένος.
9016	Tell her we're busy.	Πες της ότι είμαστε απασχολημένες.
1285	I'll write a letter to Tom.	Θα γράψω ένα γράμμα στον Τομ.
12037	Tom and Mary got married in Boston three years ago.	Ο Τομ και η Μαίρη παντρεύτηκαν στη Βοστώνη πριν από τρία χρόνια.
14946	Tom saw Mary coming.	Ο Τομ είδε τη Μαίρη να έρχεται.
17218	Does Tom know that you love him?	Το ξέρει ο Τομ, ότι τον αγαπάς;
7490	I haven't seen Tom since.	Δεν έχω δει τον Τομ από τότε.
4999	Are you sure that's what Tom said?	Είστε σίγουρες ότι αυτό είπε ο Τομ;
9464	There's a bomb on the plane.	Υπάρχει βόμβα στο αεροπλάνο.
11814	We're not going to give up.	Δεν πρόκειται να τα παρατήσουμε.
15627	You still haven't told me who you are.	Ακόμα δε μου 'χεις πει ποια είσαι.
9667	The bank is closed on Sunday.	Η τράπεζα είναι κλειστή την Κυριακή.
9966	Tom knows that he's right.	Ο Τομ το ξέρει πως έχει δίκιο.
946	Can you take me to this address?	Μπορείς να με πας σ' αυτήν την διεύθυνση;
7037	Tom has only got eyes for Mary.	Ο Τομ έχει μάτια μόνο για τη Μαίρη.
8829	It's a little late for coffee.	Είναι λίγο αργά για καφέ.
7603	They claim they're Canadians.	Ισχυρίζονται πως είναι Καναδέζες.
9132	Empty your pockets and put everything on the table.	Άδειασε τις τσέπες σου και άστα όλα πάνω στο τραπέζι.
2991	Tom took the children to school.	Ο Τομ πήγε τα παιδιά στο σχολείο.
8041	Tom is the guy standing over there near the window.	Ο Θωμάς είναι ο τύπος που στέκεται εκεί πέρα δίπλα στο παράθυρο.
11857	There are many flowers in the garden.	Στον κήπο είναι πολλά λουλούδια.
11265	Take them with you.	Παρ' τους μαζί σου.
17269	This is my best friend.	Αυτή είναι η καλύτερή μου φίλη.
7189	I like playing chess.	Μου αρέσει να παίζω σκάκι.
13533	Manners and customs vary greatly from country to country.	Τα ήθη και τα έθιμα διαφέρουν πολύ από χώρα σε χώρα.
8834	Tom repaired my bicycle.	Ο Τομ επισκεύασε το ποδήλατό μου.
2555	We're friends of Tom's.	Είμαστε φίλοι του Τομ.
10190	Give me that box.	Δώστε μου εκείνο το κουτί.
15172	Tom gave Mary a gift.	Ο Τομ έδωσε στη Μαίρη ένα δώρο.
3101	The rumor isn't true.	Αυτή η φήμη δεν είν' αλήθεια.
1221	Mary is my wife.	Η Μαίρη είναι η γυναίκα μου.
6528	Get off the lawn.	Φύγε από τη λωρίδα.
7845	I don't want to cook.	Δε θέλω να μαγειρέψω.
3529	I wonder what made Tom think I wouldn't be able to do that.	Αναρωτιέμαι τι έκανε τον Τομ να πιστέψει ότι θα μπορούσα να το κάνω αυτό.
6767	I think that it might be hard to do that.	Νομίζω πως θα είναι δύσκολο να το κάνω αυτό.
3927	Would you like a glass of red wine?	Θα θέλατε ένα ποτήρι κόκκινο κρασί;
6827	Tom isn't the only one who thinks that way.	Ο Τομ δεν είν' ο μόνος που σκέφτεται έτσι.
10772	I won't need you.	Δε θα σε χρειαστώ.
9203	A drunken man was sleeping on the bench.	Ένας μεθυσμένος κοιμόταν στο παγκάκι.
3721	Let's sit on the bench.	Ας καθίσουμε στο παγκάκι.
16883	I opened the door with a master key.	Άνοιξα την πόρτα με αντικλείδι.
10741	It was an unforgettable experience.	Ήταν μια αξέχαστη εμπειρία.
10469	Tom likes to argue.	Στον Τομ αρέσει να μαλώνει.
7560	All of my friends can speak French.	Όλοι μου οι φίλοι μπορούν και μιλάν Γαλλικά.
16038	Why do you want to learn French?	Γιατί θέλετε να μάθετε γαλλικά;
2420	Don't sign the contract with a pencil.	Μην υπογράψεις το συμβόλαιο με μολύβι.
5235	Tom didn't eat the salad that Mary made.	Ο Θωμάς δεν έφαγε τη σαλάτα που του έφτιαξε η Μαρία.
13846	No previous experience is required.	Δεν απαιτείται προηγούμενη εμπειρία.
2377	Tom drinks too much beer.	Ο Τομ πίνει πάρα πολλή μπίρα.
6387	Tom would get angry if I did that.	Ο Τομ θα θύμωνε, αν το έκανα αυτό.
2624	Does this bus go to the Hilton Hotel?	Πάει αυτό το λεωφορείο στο ξενοδοχείο Χίλτον;
1489	Tom slept in the car.	Ο Τομ κοιμήθηκε στ' αμάξι.
5475	Both of us plan to be at your party.	Αμφότεροι σχεδιάζουμε να είμαστε στο πάρτι σου.
11866	Tom has been saving money to go abroad.	Ο Τομ κάνει οικονομία για να πάει στο εξωτερικό.
15758	Tom isn't a Canadian.	Ο Τομ δεν είναι Καναδέζος.
12352	This tea smells nice.	Αυτό το τσάι μυρίζει ωραία.
