	eng	deu
31200	I don't want a job in Boston.	Ich möchte keine Arbeit in Boston.
171700	Tom can't read music.	Tom kann keine Noten lesen.
36033	Where did you take your socks off?	Wo haben Sie Ihre Socken ausgezogen?
101080	Somebody stole it from me.	Jemand hat es mir gestohlen.
53729	You knew I was married.	Sie wussten, dass ich verheiratet bin.
181121	I will go on foot.	Ich werde zu Fuß gehen.
29819	Are these books yours or mine?	Sind das deine oder meine Bücher?
63351	Tom planted a row of carrots.	Tom pflanzte eine Reihe Karotten an.
186331	Are you talking about my friend?	Sprichst du gerade von meinem Freund?
36536	I hope it rains.	Ich hoffe, es regnet.
7769	It's a windy day.	Es ist ein windiger Tag.
22855	She didn't want to get involved.	Sie wollte nichts damit zu tun haben.
55592	Do you want me to help you?	Soll ich euch helfen?
181389	Tom needs crutches to get around.	Tom braucht Krücken, um sich fortzubewegen.
76717	Give me my money back.	Gebt mir mein Geld zurück!
188492	He is very stingy with his money.	Er ist ein Geizkragen.
759	It's never easy to say goodbye.	Abschiednehmen fällt nie leicht.
123119	I get up at 6:30.	Ich stehe um 6 Uhr 30 auf.
169080	She has long arms and legs.	Sie hat lange Arme und Beine.
60139	We've been forgotten.	Man hat uns vergessen.
128827	What's it made from?	Woraus ist es hergestellt?
17454	How did you get up there?	Wie bist du dort hinaufgekommen?
113612	I interpreted your silence as consent.	Ich habe Ihr Schweigen als Zustimmung gewertet.
87769	Tom is quite young, isn't he?	Tom ist ziemlich jung, nicht wahr?
185169	Is it really possible?	Ist das wirklich möglich?
22723	Tom is 30 years old.	Tom ist 30 Jahre alt.
42317	I prefer walking to riding.	Ich gehe lieber zu Fuß, als dass ich reite.
140086	We're safe for now.	Wir sind vorerst in Sicherheit.
162150	Tom isn't a dentist.	Tom ist kein Zahnarzt.
12202	I'm hanging up my shirts.	Ich hänge meine Hemden auf.
143588	Tom can come, too.	Tom darf auch kommen.
174586	He put the key on the desk as usual.	Er legte den Schlüssel wie immer auf den Schreibtisch.
92476	I'm not an officer.	Ich bin kein Beamter.
98942	Have a good weekend, everyone.	Ich wünsche euch allen ein schönes Wochenende!
98371	This country is rich in coal.	Dieses Land ist reich an Kohle.
154305	I want to talk to you about this list.	Ich möchte mit euch über diese Liste reden.
5907	I look like Tom.	Ich sehe wie Tom aus.
148996	You and I make a good team.	Sie und ich sind ein gutes Team.
35828	I have to go to Boston.	Ich muss nach Boston fahren.
95630	A new topic came up in conversation.	In der Unterhaltung kam ein neues Thema auf.
28009	Why don't you give it another try?	Warum lässt du es nicht auf einen zweiten Versuch ankommen?
89429	The change in weather was sudden.	Der Wetterumschwung kam plötzlich.
155272	This book cost me a fortune.	Dieses Buch hat mich ein Vermögen gekostet.
24997	He fell asleep with the radio on.	Er ist bei laufendem Radio eingeschlafen.
193062	This is something Tom made for you.	Das hat Tom für dich gemacht.
91134	Aren't you feeling well?	Ist dir nicht wohl?
180411	I am married and have two children.	Ich bin verheiratet und habe zwei Kinder.
76017	I found it in the attic.	Ich fand es auf dem Dachboden.
154647	It was extremely funny.	Das war äußerst lustig.
131140	Tom made me say those things.	Tom hat mich dazu gebracht, diese Dinge zu sagen.
43914	Tom has a message for you.	Tom hat eine Nachricht für dich.
177331	You'd better not do it.	Ihr solltet es besser nicht machen.
154630	I don't feel angry.	Ich bin nicht wütend.
90234	What should we do first?	Was sollten wir als Erstes tun?
197866	How did you reply?	Wie hast du geantwortet?
134092	Tom has a small house.	Tom hat ein kleines Haus.
87867	It doesn't make sense to me.	Ich werde daraus nicht klug.
141932	Tom forgot to feed his dog yesterday.	Tom hat gestern vergessen, seinen Hund zu füttern.
90839	What's your boyfriend's name?	Wie heißt Ihr Freund?
171584	One after another, the animals died.	Die Tiere starben eins nach dem anderen.
78941	I want to dive into the river.	Ich möchte in den Fluss tauchen.
144939	It sounded too farfetched.	Das klang zu weit hergeholt.
122235	I'm sick of hearing about it.	Ich hab es satt, andauernd darüber zu hören.
113884	Chivalry isn't dead.	Die Ritterlichkeit ist nicht gestorben.
181988	The monkey climbed up the tree.	Der Affe ist auf den Baum geklettert.
73682	Tom wants to kill you, Mary.	Tom möchte dich töten, Mary.
21992	Does Tom have a raincoat?	Hat Tom eine Regenjacke?
104119	I wanted to be famous.	Ich wollte berühmt sein.
167908	I thought you might like one of these.	Ich dachte, du würdest einen davon mögen.
