	eng	srp
10026	I assumed you were busy.	Pretpostavila sam da si zauzet.
13066	Tom was waiting for us outside.	Том нас је чекао напољу.
24620	The meeting will likely be canceled.	Састанак ће вероватно бити отказан.
1800	Does Tom need my assistance?	Треба ли Тому моја помоћ?
730	That's my job, not Tom's.	To je moj posao, a ne Tomov.
21774	Tom tried to get everybody out of the room.	Том је пробао да избаци све људе из сове.
15773	Give us some room here.	Daj nam malo prostora.
20530	It's what I'm used to.	Na to sam naviknut.
25122	I was very excited.	Bio sam veoma uzbuđen.
6528	I want to stand out.	Хоћу да се истичем.
22500	Keep children away from medicine.	Drži decu podalje od lekova.
23979	It's out of our hands.	Mi tu ništa ne možemo.
4526	I doubt if that would happen.	Сумњам да ће се то десити.
3574	Have you lost your way?	Да ли си се изгубила?
4850	I like my name.	Свиђа ми се моје име.
9293	I played tennis yesterday.	Играо сам тенис јуче.
11770	These shoes are very expensive.	Ове ципеле су јако скупе.
3534	I guess that's a yes.	"Претпостављам да је то ""да""."
17904	Tom said Mary thought that he might want to do that by himself.	Том је рекао да је Мери мислила да он можда жели да то уради сам.
25046	I'm sure I'll beat Tom next time.	Сигуран да са ћу победити Тома следећи пут.
11659	Tom soon discovered that he knew more about science than the teacher.	Том је убрзо открио да је знао више о науци него учитељ.
19170	I don't like Chinese food as much as I like Mexican food.	Не волим кинеску храну колико водим мексичку храну.
20978	I haven't written anything for months.	Nisam ništa pisao mesecima.
8587	You're just like your father.	Иста си као отац.
23712	You don't have to have read everything.	Не мораш да прочиташ све.
20418	That should've never happened.	Nikada nije trebalo ovo da se desi.
19370	I know that I'll make mistakes.	Знам да ћу грешити.
16942	I've already done that.	To sam već uradio.
15867	Can you explain to me how I can get to the airport?	Možeš li da mi objasniš kako da stignem do aerodroma?
17410	I beg you to reconsider.	Preklinjem vas da ponovo razmislite.
14169	It's a shame life is so short.	Штета што је живот тако кратак.
14190	Tom didn't think that you could do that.	Том није мислио да можеш да урадиш то.
10673	I've watched all of these movies.	Гледао сам све ове филмове.
1163	Do you think Tom is still alone?	Мислиш ли да је Том још увек сам?
19137	I've met some wonderful people.	Upoznao sam neke divne ljude.
1543	Tom is an expert on wine.	Том је експерт за вина.
5746	Tom will come back from Boston next Monday.	Tom će se vratiti iz Bostona sledećeg ponedeljka.
20639	How many students did you say there were?	Колико рече да је било студента?
10446	I don't like it when you bring work home.	Ne dopada mi se kada radiš kod kuće.
23360	I thought I was going to be happy here.	Мислила сам да ћу да будем срећна овде.
19342	Does Tom trust you?	Да ли вам Том верује?
23256	Didn't I tell you not to do that anymore?	Нисам ли ти рекао да не радиш то више?
9569	I expected Tom to help us.	Очекивао сам да ће Том да нам помогне.
13931	Tom already knows who needs to do that.	Том већ зна ко треба да уради то.
19397	Yesterday was Tom's birthday.	Јуче је Тому био рођендан.
1070	Tom and Mary hope that their next child will be a boy.	Том и Мери се надају да ће њихово следеће дете бити дечак.
25500	Tom tried his best.	Tom je dao sve od sebe.
4602	I'd buy you lunch if I had enough money.	Купила бих ти ручак да имам довољно пара.
9773	What am I doing here?	Шта ћу ја овде?
2275	I'm sure Tom is proud.	Sigurna sam da je Tom ponosan.
22273	I'm lost. Can you help me?	Изгубио сам се. Можеш ли да ми помогнеш?
17000	How many people were there?	Koliko je ljudi bilo tamo?
1766	I'm a real simple guy.	Ja sam stvarno jednostavan momak.
24050	Have you finished washing the dishes?	Jesi li završio sa pranjem sudova.
10006	Tom wants to settle down.	Том хоће да се скраси.
7861	I'm sure that Tom will come to the party.	Sigurna sam da će Tom doći na zabavu.
21888	They went in opposite directions.	Отишли су супротним смеровима.
