	eng	pol
3381	He raised his hat when he saw me.	Uniósł kapelusz kiedy mnie zobaczył.
2813	Tom is still a teenager.	Tom nadal jest nastolatkiem.
11297	Tom saw Mary approaching.	Tom zobaczył, że Mary się zbliża.
2321	I want to work with you.	Chcę w tobą pracować.
24517	I'm here for another reason.	Jestem tu z innego powodu.
41972	The sentence is not grammatically accurate.	Zdanie nie jest gramatycznie dokładne.
36447	Tom has gone back to his hotel.	Tom wrócił do swojego hotelu.
38993	This poem was originally written in French.	Ten wiersz był pierwotnie napisany po francusku.
12811	Tom didn't think you would like the idea.	Tom myślał, że nie spodoba ci się ten pomysł.
7646	I wonder whether Tom is really in trouble.	Ciekawi mnie, czy Tom naprawdę jest w tarapatach.
21575	Excuse me, can you tell me the way to the library?	Przepraszam, mógłby mi pan wskazać drogę do biblioteki?
39315	Your book is on the desk.	Twoja książka jest na biurku.
12601	I like to take a hot bath every night before bed.	Lubię brać co wieczór gorącą kąpiel.
6124	Why didn't Tom speak?	Czemu Tom nie mówił?
63	Tom still doesn't know what happened.	Tom wciąż nie wie co się stało.
941	Tom is going to be a grandfather again.	Tomek zamierza być dziadkiem ponownie.
27590	Why is Tom still doing that?	Dlaczego Tom nadal to robi?
41774	Tom is being hunted by the police.	Tom jest ścigany przez policję.
42636	Where can I hang my jacket?	Gdzie mogę powiesić kurtkę?
40206	Dust had accumulated on the desk.	Kurz zebrał się na biurku.
43890	I wonder why he was absent.	Zastanawiam się dlaczego go nie było.
33950	How far is it from here to the city?	Jak daleko jest stąd do miasta?
38904	He is without doubt the most successful movie director in the world.	Jest niewątpliwie najpopularniejszym reżyserem filmowym na świecie.
6145	Tom always wondered why Mary hated John.	Tom zawsze się zastanawiał, dlaczego Mary nienawidzi Johna.
6440	Can you spare me a few minutes of your valuable time?	Czy mógłbyś poświęcić mi kilka minut twego cennego czasu?
22424	He patted his brother on the shoulder.	Klepnął swojego brata po ramieniu.
34670	I wonder how long it'll take to finish painting the house.	Zastanawiam się, ile zajmie skończenie malowania domu.
9042	I can't live without television.	Nie mogę żyć bez telewizji.
26202	You must learn from your mistakes.	Ucz się na własnych błędach.
35484	A lot of construction is going on these days.	Ostatnio wiele się buduje.
25225	I don't need to tell you anything.	Nie muszę ci nic mówić.
26850	He agrees with my opinion.	On zgadza się z moją opinią.
39815	What do you want to know about us?	Co chcesz o nas wiedzieć?
12232	This is a big step forward.	To jest wielki krok naprzód.
7570	Is it safe to eat a pig's eyeball?	Czy jedzenie świńskich oczu jest bezpieczne?
4618	He criticized me for neglecting my duty.	Skrytykował mnie za zaniedbywanie obowiązku.
39779	Tom hopes Mary likes it here.	Tom ma nadzieję, że Mary się tu podoba.
24710	I bet you didn't expect to see me again so soon.	Nie spodziewałeś się, że się tak szybko zobaczymy, co?
22313	Perhaps Tom knows more than he's telling us.	Może Tom wie więcej niż nam mówi.
20832	You haven't told Tom yet, have you?	Nie powiedziałeś Tomowi, prawda?
40547	What're Tom and Mary doing here?	Co tu robią Tom i Mary?
33437	You need someone you can trust.	Potrzebujesz kogoś, komu możesz zaufać.
1865	I think the same way as you do.	Myślę tak samo jak ty.
38988	Tom lost a lot of money gambling.	Tom stracił mnóstwo pieniędzy z powodu hazardu.
41744	You're the only person I know that never complains about the food here.	Jesteś jedyną znaną mi osobą, która nie narzeka na tutejsze jedzenie.
41730	The room is now ready for you.	Pokój jest już dla ciebie przygotowany.
3814	You can't keep us here.	Nie możesz nas tu trzymać.
20555	I think we should wear masks.	Uważam, że powinniśmy założyć maski.
29445	Do you think he is good for the position?	Myślisz, że jest dobry na to stanowisko?
41442	I've dealt with the matter.	Poradziłem sobie ze sprawą.
22047	I'm very interested in classical literature.	Bardzo mnie interesuje literatura klasyczna.
41601	What are you planning to do after this is over?	Co planujesz robić, jak to się skończy?
21724	If only her husband helped her, most of her problems at home would disappear.	Gdyby tylko jej mąż pomógł jej, większość jej problemów w domu zniknęłaby.
24918	You don't need to come so early.	Nie musisz przychodzić tak wcześnie.
22240	He misses his family.	Tęskni za swoją rodziną.
24161	I'll stay right here till you get back.	Poczekam tutaj do czasu aż wrócisz.
8504	Where's my mother?	Gdzie jest moja matka?
32661	Let's suppose you happen to strike it rich at the races.	Przypuśćmy, że się wzbogacisz na wyścigach.
7262	I'm sorry, but I don't speak French very well.	Przepraszam, ale nie mówię zbyt dobrze po francusku.
17597	I'd like to go to Boston again someday.	Chciałbym kiedyś znowu pojechać do Bostonu.
20794	Do you want to embarrass me in front of my friends?	Chcesz mnie zawstydzić przed moimi przyjaciółmi?
27957	Come on, let's go.	No dalej, chodźmy.
12184	She was supposed to call him at 2:30.	Miała do niego zadzwonić o 14:30.
5973	It's that important.	To jest tak ważne.
21583	He had no choice but to run away.	Nie miał innego wyboru, jak tylko uciekać.
8197	We're prepared for the worst.	Jesteśmy przygotowani na najgorsze.
27304	Tom wanted me to sit down and relax.	Tom chciał, żebym usiadł i się odprężył.
21821	Can you manage alone this weekend?	Poradzisz sobie sam w ten weekend?
40508	He often eats breakfast there.	On często je tutaj śniadanie.
18914	Don't give up the fight.	Nie poddawaj się w walce.
33098	I'll do it, if you insist.	Zrobię to, jeśli nalegasz.
45792	Don't text and drive.	Nie esemesuj za kierownicą.
10565	He died of lung cancer.	Zmarł na raka płuc.
23083	I missed going out with her and eating at our favorite restaurant.	Brakowało mi tych czasów, kiedy chodziliśmy ze sobą, kiedy jadaliśmy w naszej ulubionej restauracji.
19945	People don't usually swim around here. The water's not too clean.	Ludzie tutaj raczej nie pływają. Woda nie jest zbyt czysta.
1079	I knew it could happen.	Wiedziałem, że może do tego dojść.
25369	Please get into the car.	Proszę wsiąść do samochodu.
43028	He was accused of murder.	Był oskarżony o zabójstwo.
5141	He wasn't earning a large salary when he retired.	Nie zarabiał dużo, kiedy przechodził na emeryturę.
16914	I want to drink a cup of tea.	Chcę się napić filiżanki herbaty.
27814	I'm sorry if I woke you.	Przepraszam, jeśli ciebie obudziłem.
16689	Tom put the kids to bed.	Tom położył dzieci do łóżka.
22057	Tom owes Mary thirty bucks.	Tom wisi Mary trzydzieści dolców.
6019	She's already forgotten about you.	Ona już o tobie zapomniała.
36635	Can we go back home?	Możemy wrócić do domu?
14781	His novel is beyond my comprehension.	Nie potrafię zrozumieć jego powieści.
804	My coach eats 6,000 calories a day.	Mój trener zjada 6 tys. kalorii dziennie.
29695	If I don't tell Tom, who will?	Jeśli nie powiem Tomowi, kto to zrobi?
24289	His speech moved us.	Jego przemowa wywarła na nas wrażenie.
22201	Tom gave me a handwritten note from Mary.	Tom dał mi odręczną notatkę od Mary.
30261	I want to play foosball.	Chcę zagrać w piłkarzyki.
3177	He is the only American who has swum the English Channel.	Jest jedynym Amerykaninem, który przepłynął La Manche.
14235	I translated the letter into French.	Przetłumaczyłem list na francuski.
40470	She will never talk about it.	Ona nigdy nie będzie o tym rozmawiać.
43734	Her house is close to the park.	Jej dom jest blisko parku.
33834	How long do spiders live?	Jak długo żyją pająki?
17643	It's difficult to understand his theory.	Jego teoria jest trudna do zrozumienia.
24078	Don't forget the receipt.	Proszę nie zapomnieć paragonu.
24387	Tom's office isn't where I thought it was.	Biuro Toma nie jest tam, gdzie myślałem.
20252	He speaks five languages.	Mówi w pięciu językach.
39023	I had no idea things had gotten this bad.	Nie miałem pojęcia, że sytuacja się tak pogorszyła.
35016	He got angry with me.	Zezłościł się na mnie.
26694	I don't understand this poem.	Nie rozumiem tego wiersza.
26867	A boy and a girl are sitting on the fence.	Chłopak i dziewczyna siedzą na płocie.
22616	He said that he would call you later.	Powiedział, że zadzwoni do ciebie później.
27432	I've had a little bit too much to drink.	Troszkę za dużo wypiłem.
15578	We're running out of gas.	Kończy nam się benzyna.
8878	Tom left the window open.	Tom zostawił otwarte okno.
44752	Tom told me that we're out of time.	Tom powiedział, że nie mamy czasu.
35544	We met each other at a party.	Spotkaliśmy się na przyjęciu.
35187	I wish I hadn't hit Tom.	Żałuję, że uderzyłem Toma.
26795	Tom admires Mary for her honesty.	Tom podziwia Mary za jej uczciwość.
44257	Tom wants to go out for a walk.	Tom chce iść na spacer.
32782	Tom was extraordinarily handsome.	Tom był nadzwyczajnie przystojny.
45684	Let's go over it again.	Przeróbmy to jeszcze raz.
1253	How many teeth does a horse have?	Ile zębów ma koń?
43258	Someone stole all my money.	Ktoś ukradł mi wszystkie pieniądze.
34839	I've been asked to give this to you.	Poproszono mnie, bym ci to dał.
43066	You don't have to obey such a law.	Nie musisz przestrzegać takiego prawa.
