	eng	hun
83000	I might be the only one here who doesn't understand French.	Lehet, hogy én vagyok itt az egyetlen, aki nem ért franciául.
71609	I'm really sorry about all this.	Mindezek miatt én igazán szomorú vagyok.
8537	I won't go to Boston anymore.	Nem megyek többé Bostonba.
8692	I hope that nobody comes.	Remélem, nem jön senki.
12697	Were you home last night?	Otthon voltatok tegnap este?
2003	Don't trust anyone, not even Tom.	Senkinek ne higgy, még Tominak se!
96610	I met Tom at church.	Tomival a templomnál találkoztam.
67989	Most guitars have six strings.	A gitárok többségének hat húrja van.
82861	Leave the dog outside.	Hagyd kint a kutyát!
97259	What do you know about the CIA?	Mit tud a CIA-ról?
13442	Can you tell wheat from barley?	Meg tudod különböztetni a búzát az árpától?
48969	I think Tom and Mary would make a nice couple.	Szerintem, Tomi és Mari szép pár lennének.
59499	I'm running out of patience.	Kezdek kitérni a hitemből.
35434	Tom never did that.	Tom ezt soha nem tette meg.
22318	Tom can't tie his own shoes.	Tom nem tudja bekötni a saját cipőjét.
1394	I don't have the strength to keep trying.	Nincs erőm tovább próbálkozni.
82195	It was quite dark when I got home.	Egészen sötét volt, amikor hazamentem.
20926	Tom asked Mary to come inside.	Tamás megkérte Marit, hogy jöjjön be.
31990	It's difficult but not impossible.	Nehéz, de nem lehetetlen.
51511	The cat caught a mouse.	A macska egeret fogott.
27030	When did you buy this bicycle?	Mikor vettétek ezt a bicót?
34377	I don't feel like playing tennis today.	Nincs kedvem ma teniszezni.
89365	We need some help here.	Kellene itt egy kis segítség.
66867	Doctors use medical equipment.	Az orvosok orvosi berendezéseket használnak.
81417	What are you guys up to?	Mit csináltok, srácok?
84750	I've been working with Tom for three months.	Három hónapja dolgozom Tommal.
6872	All the workers at this factory are female.	Az összes munkás ebben a gyárban nő.
86005	It was hot and humid.	Forró volt és nedves.
96013	In case of emergency, call 119.	Sürgősség esetén hívjuk a 119-et.
74678	Tom isn't going to like it.	Tomnak nem fog tetszeni.
25553	I don't want Tom to make a fuss.	Nem akarom, hogy Tom nagy felhajtást csináljon.
1146	Get off my property now.	Azonnal tűnjön el a birtokomról!
87663	The dog looks hungry.	A kutya éhesnek néz ki.
5927	Which continent is the most populated one?	Melyik kontinens a legnépesebb?
16560	Tom often sends me jokes.	Tom gyakran küld nekem vicceket.
99310	Tom agreed with Mary's assessment.	Tom egyetértett Mary értékelésével.
38056	Tom knew he'd be punished.	Tom tudta, hogy meg fogják büntetni.
108939	This house is abandoned.	Ez egy elhagyatott ház.
31062	We can't do that here.	Itt nem tudjuk megcsinálni.
49925	I intend to change jobs.	Tervezem, hogy munkahelyet változtatok.
75730	He felt pleased with the new car.	Elégedett volt az új autójával.
111398	Are you still mad at me?	Még mindig mérges vagy rám?
79452	I never had to worry about money.	Sosem kellett aggódnom a pénz miatt.
7849	I would rather let him have his own way.	Inkább hagynám a saját feje után menni.
110436	Don't let yourself be provoked.	Ne hagyd, hogy kihozzanak a béketűrésedből!
10287	The elephant is the largest land animal.	Elefánt a legnagyobb szárazföldi állat.
91429	I don't have a car.	Nincs egy autóm se.
57722	Do you really want to go home now?	Tényleg haza szeretnél most menni?
7284	Tom buys and sells cars.	Tomi adja-veszi az autókat.
49002	She misses him, especially on rainy days.	Hiányzik neki, különösen esős napokon.
34177	Tom may have been right.	Lehet, hogy Tamásnak volt igaza.
38511	Tom filled both glasses with wine.	Tomi megtöltötte borral mindkét poharat.
5949	This room heats easily.	Ez a szoba könnyen felmelegszik.
14796	Tom put his keys into his pocket.	Tomi zsebre tette a kulcsait.
9228	How will we get there?	Hogyan jutunk el oda?
59134	Where's your baggage?	Hol van a csomagod?
50287	What's your home phone number?	Mi az otthoni telefonszámod?
33578	It's not an easy subject to talk about.	Nem olyan könnyű erről a témáról beszélni.
16067	I really feel like eating Chinese food tonight.	Ma este nagyon szívesen ennék kínai ételt.
28653	I don't want to go by myself.	Nem akarok egyedül menni.
44942	Is mail delivered on Sunday?	Nyitva van a posta vasárnap?
38930	Whose socks are these?	Kié ezek a zoknik?
23540	I'm a sucker for happy endings.	Imádom a boldog befejezéseket.
8675	That's a great idea.	Az egy nagyszerű ötlet.
18157	Venus and Earth are almost the same size.	A Vénusz és a Föld majdnem egyforma méretűek.
27000	The soap hurt my eyes.	Csípi a szemem a szappan.
36463	Tom hasn't completely recovered yet.	Tom még nem épült fel teljesen.
48937	I am sure that you will be satisfied.	Biztos vagyok benne, hogy meg leszel elégedve.
70363	He made up the whole story.	Csak kitalálta az egész történetet.
97611	You must write the essay in French.	Az esszét muszáj franciául írnod.
3666	The concert will take place next summer.	A koncert jövő nyáron lesz.
3770	Tom is definitely not a liar.	Biztos, hogy Tomi nem hazug ember.
7063	He looks older than my brother.	Idősebbnek néz ki, mint a fivérem.
3073	Tom is in a good mood today.	Tominak ma jó a kedve.
61907	I didn't write anything in my notebook.	Nem írtam semmit a noteszomba.
17870	Would you mind my using this dictionary?	Megengedi, hogy használjam ezt a szótárt?
79990	A lot of people feel the same way you do.	Sok ember érez úgy, ahogy te.
7401	Don't be so sentimental.	Ne légy olyan szentimentális!
78023	"""Is everyone talking about me?"" ""No, Tom. You're not that important."""	— Rólam beszél mindenki? — Nem, Tomi. Te nem vagy olyan fontos.
59040	Is this cage shark-proof?	Ez a ketrec cápabiztos?
72490	I had an amazing experience.	Csodálatos élményben volt részem.
68989	Tom lost his temper and hit Mary.	Tom elvesztette az önuralmát és megütötte Máriát.
83066	The year went by quickly.	Gyorsan eltelt az év.
69080	They need food and water.	Víz és élelmiszer kell nekik.
94720	I don't want you to wash my clothes.	Nem akarom, hogy te mosd a ruháimat.
99253	This book is mine.	Ez a könyv az enyém.
46810	Have you ever climbed Mt. Fuji?	Megmászta-e már a Fudzsit?
78220	I need to do some shopping since Christmas is coming soon.	Vásárolnom kell, mert közel a karácsony.
20309	I need the work.	Szükségem van a munkára.
17731	My reckoning was correct.	Helyes volt a számításom.
32754	The oven is still warm.	A sütő még meleg.
27211	Turn the light on. I can't see a thing.	Kapcsold fel a lámpát! Nem látok semmit.
111784	Tom wanted to go to Boston.	Tamás Bostonba akart menni.
97285	What will my parents think?	Mit gondolnak majd a szüleim?
15200	I know you want to go home.	Tudom, hogy haza akarsz menni.
4386	What're you going to do with it?	Mit fogsz csinálni vele?
73026	My brother became an engineer.	A testvérem mérnök lett.
13792	I feel like eating some roasted chestnuts.	Bevágnék most néhány sült gesztenyét.
39443	I must discuss that new plan with him.	Meg kell vitatnom vele ezt az új tervet.
69095	I think that I have a right to know what's going on here.	Úgy gondolom, jogom van tudni, hogy mi folyik itt.
8893	The coffee is too strong.	Ez a kávé nagyon erős.
69793	Why did you buy this car?	Miért vették meg ezt az autót?
13205	I've never traveled by train.	Eddig még soha nem utaztam vonattal.
81559	I pretended to work.	Úgy tettem, mintha dolgoznék.
