	eng	ara
5930	There are no hospitals in the vicinity of his house.	ليست هناك مستشفيات قرب بيته.
4355	Doing that would be dangerous.	سيكون فعل ذلك خطرًا.
10788	Your daughters have turned into women.	لقد أصبحت بناتك نساء.
10178	They don't even know why.	إنهم لا يعرفون لماذا حتى.
11789	I met Tom in the library on Monday.	قابلت توم في المكتبة يوم الاثنين.
5130	Tom is the only one who can do this.	توم هو فقط من يمكنه فعل هذا.
3412	Mom, Tom's hitting me!	أُمي, توم يضربني.
5520	I don't want to hear another word about it!	لا أُريد أن أسمع كلمة أُخرىَ عن هذا!
4432	Could I have a glass of white wine?	هل أستطيع الحصول على كأس من النبيذ الأبيض؟
10254	They are demanding shorter working hours.	هم يطالبون بساعات عمل أقل.
10113	I'm going to help you save some time.	سأساعدك في توفير بعض الوقت.
10921	I've heard this song before.	لقد سمعت هذه الأغنية من قبل.
8823	Who owns this house?	من مالك هذا البيت؟
3613	Are you older than Tom?	أأنت أكبر من توم؟
5352	Tom is waiting to talk to you.	ينتظرك توم للتحدث معك.
9462	Ostriches can't fly.	النعام لا يمكنه الطيران.
566	I knew that it was you.	كنت أعلم أنه أنت.
10509	Was it an earthquake?	هل كان ذلك زلزالا؟
5838	My sister saw it with her own eyes.	رأته أختي بأم عينيها.
8645	She ate only lean meat.	تأكل اللحم الطري فقط.
10271	I'm going there even if you don't go.	انا ذاهب الى هناك حتى ولو لم تذهب
132	If you want to dance, let's dance together.	إذا اردت أن ترقُص, هيا نرقص معاً.
9014	Water has zero calories.	الماء به صفر سعرات حرارية.
4436	Your house is three times as large as mine.	بيتك أكبر من بيتي ثلاث مرات.
1371	Though I was tired, I did my best.	مع أني كنت متعبا إلا أني قدمت أفضل ما عندي.
115	How many days do you usually need to get there?	كم يوماً تحتاج عادةً للوصول إلى هناك؟
11840	Can you find it?	أيمكنك أن تبحث عنها؟
2194	The station is not far from here.	المحطة ليست بعيدة عن هنا.
11528	Tom wanted to call the police, but Mary wouldn't let him.	أراد توم استدعاء الشرطة، ولكن ماري لم تسمح له.
7459	My older brother borrowed money from a loan shark.	اقترض أخي الأكبر مالاً من مرابي
11758	This is the time he normally arrives.	هذا هو الوقت الذي يصل فيه عادة.
2453	All of us should go.	علينا جميعا أن نذهب.
4370	He lost two sons in the war.	فقد ابنين في الحرب.
121	Don't you want to watch TV?	ألا تريد مشاهدة التلفاز؟
8299	I'm tired. It's been a long day.	أنا متعب. لقد كان يوماً طويلاً.
9816	Drivers should be aware of the traffic rules.	على السائقين أن ينتبهوا لقواعد المرور.
2657	Get Tom some water.	اجلب بعض الماء لتوم.
3385	I'm going to find a place of my own.	ساعثر علي مكان خاص بي
9092	Where would you suggest we go?	أين تقترح أن نذهب؟
11793	I have something that I want to say to you.	هناك ما أريد قوله لك.
7207	There were twenty or so people there.	كان هناك حوالي عشرون شخصاً.
1948	Tom has the ability to do that.	لتوم المقدرة على فعل ذلك.
3380	It seems right to me.	تبدو صحيحة بالنسبة لي.
428	We have to put off making a final decision until next week.	علينا أن نأجل القرار النهائي حتى الأسبوع القادم.
1500	Is this a picture that you yourself drew?	هل هذه صورة أنتِ رسمتِها بنفسك؟
2647	It was very kind of you to lend me an umbrella.	كان من عظيم لطفك أن أعرتني مظلةً.
2213	She can speak French fluently.	بإمكانها تحدث الفرنسية بطلاقة.
294	This is the worst movie I have ever seen.	هذا أسوأ فلم شاهدته في حياتي.
9967	People are living in all parts of the world.	الناس يعيشون في جميع أنحاء العالم.
8171	Who do you want to talk to?	مع من تريد أن تتحدث؟
10372	Your mother is in critical condition.	والدتك في حالة حرجة.
816	Falling in love is the most natural thing in the world.	لا شيء طبيعي أكثر من الوقوع في الحب.
8969	How much for half a kilo?	كم ثمن نصف كيلو؟
10441	My hair isn't as long as Tom's.	شعري ليس بطول شعر توم.
9736	I've finally finished writing the report.	أخيرا أنهيتُ كتابة التقرير.
12035	You talk as if you were the boss.	تتكلم و كأنك رئيسنا.
5346	We must go there whether we like it or not.	علينا الذهاب إلى هناك شئنا أم أبينا.
9898	A sane man wouldn't do that.	رجلاً عاقلاً لن يفعل هذا.
3560	His daughter and my son are good friends.	ابنته وابني صديقان جيدان.
7555	The rioters beat many policemen to death.	قام المتظاهرون بضرب العديد من رجال الشرطة حتى الموت.
5783	The Internet is very useful for knowing the circumstances of each part of the world.	الإنترنت مفيد جدا لمعرفة ظروف كل جزء من العالم.
2814	I may be old, but I can still ride a bike.	لربّما كنت كبير السن ولكنني لا زلت أستطيع ركوب الدراجة.
497	It isn't as cold here as I expected.	انها ليست باردة هنا كما توقعت.
1374	I'll fix you some coffee.	سأعد لك بعض القهوة.
666	The problem is that solar energy costs too much.	المشكلة أن الطاقة الشمسية تكلف كثيرا.
9909	The last person I told my idea to thought I was nuts.	آخِرُ شخصٍ أخبرتُه فكرتي ظنّنِيْ مجنونًا.
8130	She gave him a slap in the face.	لقد صفعته في الوجه.
2087	If you don't work, you can't eat.	إن لم تعمل لن تستطيع الأكل.
5880	Tom announced he was retiring.	أعلن توم عن تقاعده.
9493	Is this a gift for me?	هل هذهِ هدية لي؟
2753	She always buys expensive clothes.	إنها دائماً تشتري ثياباً ثمينة.
10400	Tom knows I like him.	توم يعرف أنني أوده.
6233	I'm not satisfied with what you've done.	لست راضيا عما فعلته.
10101	Tom is going to boarding school next year.	سيذهب توم إلى مدرسة داخلية في العام القادم.
6954	Is that pure gold?	هل هذا ذهب خالص؟
10777	Do you think this book is worth reading?	هل تعتقد أن هذا الكتاب يستحق القراءة؟
1494	He was very thirsty and asked for some water.	كان عطشاناً جداً فطلب القليل من الماء.
7870	I studied English when I was there.	درست الإنجليزية عندما كنت هناك.
7370	She was mad at her son.	هىَ كانت غاضبة علىَ إبنها.
2900	There are some books on the desk.	هناك بعض الكتب على المكتب.
8150	Come on! We'll be late.	هيا بنا! سنتأخر.
8034	She slapped his face.	صفعته كفاً على وجهه.
4884	It's impossible to tell for certain.	من المستحيل القول بشكلٍ قطعي.
8799	Where is the laundry?	أين الملابس التي تحتاج إلى غسل؟
1072	I told them to send me another ticket.	أخبرتُهُم أن يُرْسِلُوا لي تذِكرةً أُخرى.
6285	My life was in danger.	حياتي كانت في خطر.
5849	He went out in a hurry.	خرج علی عجلة من أمره.
11755	Children are often very good at learning foreign languages.	عادة ما يكون الأطفال ماهرين جداً في تعلم اللغات.
7253	Do you know how to use a computer?	هل تعرف كيف تستعمل الحاسوب؟
5871	You're Tom's friend, aren't you?	أنت صديق توم، أليس ذلك صحيحاً؟
1790	Wait till the rain stops.	انتظر حتى يتوقف المطر عن الهطول.
2181	This book hasn't yet been translated into French.	لم يُترجم هذا الكتاب إلى الفرنسية بعد.
11423	I don't know what to say.	لا أعرف ماذا أقول.
3639	The magazine comes out every week.	تصدر المجلة كل إسبوع.
9928	I think that Tom is hiding something.	أظنّ توم يخفي شيئًا.
5495	I don't know whether she will come.	لا أدري إن كانت ستأتي.
5900	Do you eat in the classroom?	هل تأكل في الفصل؟
4763	Do you like San Francisco?	هل تحب سان فرانسيسكو؟
8449	Nearly a thousand people participated in the demonstration.	شارك في المظاهرة ما يقارب ألف شخص.
9627	I hope everything goes OK.	آمل أن يسير كل شيء على ما يرام
9795	A broken-down car was standing in the middle of the road.	وقفت سيارة متعطلة في منتصف الطريق.
8752	Does Tom have doubts?	هل لدى توم شكوك؟
1276	Tom became depressed after Mary left him.	أصاب الإحباط توم بعدما تركته ماري.
1238	Stop teasing your brother!	توقفي عن غيظ أخيكِ!
4244	Would you mind standing aside?	هل تمانع في الوقوف جانبًا؟
264	Please don't run in the classroom.	من فضلك لا تركض في الصف.
9278	Everybody was very well dressed.	كان الجميع بملابس أنيقة.
7599	"""But don't you think that it's a little big?"" asked the shopkeeper."	"سألت صاحبة المحل: ""ولكن، ألا تظنها كبيرة قليلًا؟""."
10890	There are many words that I don't understand.	ثمّة العديد من الكلمات التي لا أفهمها.
3316	The samples were collected from two hundred medical institutions all over the world.	جُمِعت العيناتُ من مائتي مؤسسة طبية في جميع أنحاء العالم.
1701	The police officer fired a warning shot.	أطلق الشرطي رصاصة تحذيرية.
747	From the direction that he was going in, I would say he was headed to town.	بناءً على الاتجاه الذي سار فيه، أظن أنه كان متجهًا إلى البلدة.
2609	Is the snake alive or dead?	هل الثعبان حي أم ميت؟
5992	I've never seen Tom dance.	لم أرَ توم يرقص أبدا.
11422	Every house had a garden.	كان لكل بيت حديقة.
2405	Look at the boy jump!	أنظر إلى الولد و هو يقفز!
6932	This is never going to end.	هذا لن ينتهي أبدا.
11633	My father bought a new car.	اشترى أبي سيارة جديدة.
2296	What do you actually do in the office?	ما هي طبيعة عملك في المكتب؟
10307	I listen to the radio every night.	أستمع إلى المذياع كل ليلة.
6125	Are you busy tomorrow morning?	هل انت مشغول غداً صباحاً ؟
10867	All roads lead to Rome.	كل الطرق تؤدي إلى روما.
4187	He's come to make trouble.	إنهُ أتى ليصنع مشكلة.
9408	Please clean the floor with this mop.	من فضلك نظف الارض بهذه الممسحة
6655	I wonder why Tom said that.	أتساءل لماذا قال توم ذلك
