	eng	rus
9981	Tom has a beautiful wife.	У Тома красивая жена.
205462	Do you want to live like slaves?	Вы хотите жить как рабы?
218985	What was that you said a minute ago?	Что это вы только что сказали?
73837	I won't let you jump.	Я не дам вам прыгнуть.
306662	That would be better.	Так было бы лучше.
229118	I'm in love with somebody else.	Я влюблена в другого.
177907	Tom told me Mary was safe.	Том сказал мне, что Мэри в безопасности.
253943	I appreciate your time.	Я ценю Ваше время.
226434	I got a telescope for my birthday.	Мне на день рождения подарили телескоп.
65555	Tom has been taken to a hospital.	Тома забрали в больницу.
331725	I don't think Tom understood.	Не думаю, что Том понял.
40713	Tom has an easy job.	У Тома простая работа.
275654	Tom asked me to help you do this.	Том попросил меня помочь вам это сделать.
