	eng	ukr
119199	Why didn't you want me to come here?	Чому ти не хотіла, щоб я сюди прийшла?
120015	Is Tom willing to do that?	Том це бажає зробити?
35799	You said that it would happen.	Ти сказав, що це трапиться.
15432	Tom is just a little younger than I am.	Том лише трохи молодший від мене.
83311	Tom says he hopes that you win.	Том каже, що він сподівається, що ти виграєш.
120508	Would you like coffee or tea?	Бажаєте кави чи чаю?
121473	Tom and Mary are both exhausted.	І Том, і Мері обоє виснажені.
55737	Why should you care what I think?	Чому вас повинно хвилювати, що я думаю?
67746	I gave a puppy to Tom.	Я подарувала Тому цуценя.
105791	Tom tripped and fell.	Том перечепився й упав.
142230	Had I arrived earlier, I could have seen Kelly.	Якби я прийшов раніше, я б побачив Келлі.
156137	I'm still the boss.	Я все ще головний.
53010	Tom said he'd be back in October.	Том сказав, що повернеться в жовтні.
93208	I think that Tom forgot his camera.	Мені здається, Том забув свій фотоапарат.
56984	We're busy right now.	У даний момент ми зайняті.
130232	We don't negotiate with terrorists.	Ми не ведемо переговорів з терористами.
129853	Tom doesn't want to talk about it.	Том не хоче про це говорити.
3379	Why does Tom hate Mary?	Чому Том ненавидить Мері?
33079	I didn't like the way Tom did that.	Мені не сподобалося те, як Том це робить.
115557	Tom said that Mary is furious.	Том сказав, що Мері розлючена.
37240	I've always respected Tom.	Я завжди поважала Тома.
16816	Help us, please.	Допоможи нам, будь ласка.
71030	Did you wash this apple?	Ти помила це яблуко?
139698	I want to be a pilot in the future.	У майбутньому я хочу стати пілотом.
137523	Surely he'll phone me tonight.	Звичайно ж, він мені зателефонує сьогодні ввечері.
39256	That's what Tom said to Mary.	Ось що Том сказав Мері.
40669	I will be very careful.	Я буду дуже обережний.
79377	I always eat well.	Я завжди добре їм.
110754	Tom got arrested for speeding.	Тома заарештували за перевищення швидкості.
44067	I've had it with Tom.	Я вже більше не можу з Томом.
148598	Tom complained about the service.	Том скаржився на сервіс.
61882	All three of the boys wanted to do that.	Всі троє хотіли це зробити.
35081	I've finally gotten used to living here in Boston.	Я, нарешті, звик до життя тут, у Бостоні.
19232	Tom asked me to find Mary.	Том попросив мене знайти Мері.
67342	I must buy some milk.	Я маю купити молока.
92492	We now know that Tom was lying.	Тепер ми знаємо, що Том брехав.
37462	We believe you, Tom.	Ми вам віримо, Томе.
144278	Tom said he didn't speak French.	Том сказав, що не говорить французькою.
121090	I hope you didn't put sugar in my coffee.	Сподіваюся, ти не клала цукор мені до кави.
67275	Tom is very good at playing the piano.	Том дуже добре грає на піаніно.
126084	That strategy hasn't worked.	Ця стратегія не спрацювала.
17483	Tom was surprised by Mary's candor.	Відвертість Мері здивувала Тома.
56497	You're a bit shorter than I am.	Ви трохи нижча від мене.
9523	He is angry with me.	Він на мене сердитий.
10401	Many families eat dinner while watching TV.	Багато сімей вечеряють перед телевізором.
1389	I won't tell anyone about what happened.	Я нікому не скажу, що сталося.
52752	I made several mistakes.	Я зробив кілька помилок.
86327	Give me just a little.	Дайте мені зовсім трошки.
26098	We lost all of our money.	Ми втратили всі гроші.
152228	Tom said that he was very unlikely to win.	Том сказав, що дуже малоймовірно, що він виграє.
