	eng	fin
1395	She was a middle-aged woman.	Hän oli keski-ikäinen nainen.
30025	I couldn't keep from crying.	En pystynyt pidättämään itkuani.
38942	Tom will never agree to that.	Tom ei koskaan tule olemaan samaa mieltä.
37257	Rich people aren't always happy.	Aina rikkaat ihmiset eivät ole onnellisia.
2327	I didn't know you were going to be here.	En tiennyt, että sinä olisit täällä.
58968	I would like to speak to the head nurse.	Haluaisin puhua sen ylihoitajan kanssa.
12020	Nothing is the matter with the car. It's just that you are a bad driver.	Autossa ei ole mitään vikaa. Se on vaan niin, että sinä olet huono kuski.
31687	Tom is still unemployed.	Tom on yhä työtön.
34659	Have you ever even seen a firefly?	Oletko koskaan nähnyt tulikärpästä?
16456	He stayed at a cheap hotel.	Hän asui halvassa hotellissa.
20699	This bed is not comfortable.	Tää sänky ei oo mukava.
43628	The new tunnel is twice as long as the old one.	Uusi tunneli on kaksi kertaa niin pitkä kuin vanha.
6570	It rained hard last night.	Satoi kovasti viime yönä.
22330	The price of meat will soon come down.	Lihan hinta laskee pian.
12711	This is a very good question.	Tämä on todella hyvä kysymys.
30810	Sorry for being late.	Anteeksi että olen myöhässä.
18425	Tom's dog bit Mary's hand.	Tomin koira puraisi Marin kättä.
39153	Mary's husband's name is Tom.	Marin miehen nimi on Tomi.
48359	The Cold War began after the Second World War.	Kylmä sota alkoi toisen maailmansodan jälkeen.
16162	He is by far the best boy in the class.	Hän on reilusti luokan paras poika.
19647	Tom sold his car without hesitation.	Tomi myi epäröimättä hänen autonsa.
69252	You have too much to do.	Sinulla on liikaa tehtävää.
49411	The girls were sitting side by side.	Tytöt istuivat kylki kyljessä.
21308	In the 19th century, the number of immigrants increased rapidly.	1800-luvulla siirtolaisten määrä lisääntyi jyrkästi.
43802	The Prime Minister's speech was calculated to anger the opposition parties.	Oli laskelmoitua, että pääministeri puhe suututti opposition.
13266	It looks like Tom doesn't like you very much.	Vaikuttaa siltä, ettei Tomi pidä sinusta paljoa.
62439	I was surprised to learn that Tom was a liberal.	Yllätyin kun sain tietää, että Tom on liberalisti.
69399	There's a big problem.	Tässä on iso ongelma.
65027	I really don't remember.	Minä en todellakaan muista.
60191	I know Tom is a pretty good basketball player.	Minä tiedän, että Tommi on aika hyvä pelaamaan pesäpalloa.
4574	Tom tried to help me, but I told him I didn't need his help.	Tom yritti auttaa minua, mutta kerroin hänelle, etten tarvinnut hänen apuaan.
3981	They searched the house, but found no clues.	He tutkivat talon, mutta eivät löytäneet johtolankoja.
62375	I grew up speaking French at home.	Kasvoin puhuen ranskaa kotona.
21780	I really love her younger sister a lot.	Rakastan hänen siskoaan todella paljon.
12943	He pretended not to see me.	Hän teeskenteli, ettei nähnyt minua.
35111	You can fix it, can't you?	Et taida osata korjata sitä, vai mitä?
43675	Would you carry this down to the second floor for me?	Voisitko kantaa tämän puolestani alas toiseen kerrokseen?
48102	It's very hard to see yourself as others see you.	On kovin vaikeaa nähdä itsensä muiden silmin.
21810	We knew one day it would happen.	Me tiesimme, että se tapahtuisi jonain päivänä.
33314	Tom searched the entire house.	Tomi tutki koko talon.
17981	I have an orange and an apple.	Minulla on appelsiini ja omena.
27668	She's the most beautiful woman.	Hän on mitä kaunein nainen.
62492	Tom had to stay in the hospital for three weeks.	Tomin täytyi viettää sairaalassa kolme viikkoa.
16643	He showed me around.	Hän esitteli minulle ympäristöä.
24806	I'll never find true love.	En milloinkaan löydä tosirakkautta.
7456	You can't afford to buy that, can you?	Sinulla ei taida olla varaa ostaa sitä, vai mitä?
16100	How much is this camera?	Kuinka paljon tämä kamera maksaa?
60882	Tom's new girlfriend is very young.	Tomin uusi tyttöystävä on todella nuori.
12319	The dew evaporated when the sun rose.	Kaste haihtui auringon noustessa.
15573	You can't fight a good fight with such a defeatist attitude.	Et voi käydä kunnon taistelua noin defaitistisella asenteella.
65872	You can't do that anymore.	Et voi tehdä enää tuota.
57153	You know I'm married.	Tiedät, että olen naimisissa.
16154	Why would Tom be at school today?	Miksi Tom koulussa tänään olisi?
39147	Have you told anyone about the surprise party?	Oletko kertonut kenellekkään yllätysjuhlista?
43894	How's your mother?	Miten sinun äitisi voi?
48373	How do you usually spend your weekends?	Miten vietät yleensä viikonloppusi?
61904	I've studied French for years.	Olen opiskellut ranskaa vuosia.
5598	Why are you angry with me?	Miksi te olette vihaisia minulle?
51061	Funding remains an issue.	Rahoitus on edelleen ongelma.
68167	You just need to relax.	Sinun täytyy vain rentoutua.
13626	Have you finished your homework already?	Oletko jo saanut läksyt valmiiksi?
63440	Tom has been sick in bed for a long time.	Tom on ollut sairaana vuoteessa pitkän aikaa.
53743	Tom and Mary walked out of the room, leaving John alone.	Tom ja Mari kävelivät ulos huoneesta ja jättivät Jonin yksin.
46644	People like him because he is kind.	Ihmiset pitävät hänestä, koska hän on ystävällinen.
67022	Tom saw a camel in the desert.	Tomi näki aavikolla kamelin.
29149	Please put those chairs away.	Siivoa nuo tuolit pois.
67768	She declared that she was right.	Hän vakuutti olleensa oikeassa.
3104	How long have you been in jail?	Kuinka kauan olet ollut vankilassa?
28953	They're both unmarried.	He ovat molemmat naimattomia.
40039	You haven't been waiting all that long.	Sinä et ole odottanut aivan niin kauan.
15654	Tom saw Mary with another man.	Tom näki Marin toisen miehen seurassa.
47877	Do you have any beer?	Onko sinulla yhtään olutta?
36646	Everyone in my family was there.	Minun koko perheeni oli paikalla.
12619	Tom wanted me to tell you to buy a couple of loaves of bread on your way home.	Tom halusi minun sanovan sinulle, että osta muutama leipä kotimatkallasi.
2178	How often do you wear boots?	Kuinka usein sinä käytät saappaita?
64412	Tom speaks three languages.	Tomi puhuu kolmea kieltä.
44571	Nanako is really cute, isn't she?	Nanako on tosi söpö, eikö olekin?
1470	You'll never know unless you try.	Koettamatta sinä et saa koskaan tietää.
32463	What a cute baby! May I hold her?	Onpa söpö vauva! Saanko ottaa hänet syliin?
8052	I knew that today would be fun.	Tiesin että tämä päivä olisi hauska.
52418	Could you tell me how to get to the station?	Voisitko kertoa minulle miten pääsen asemalle?
64619	Tom wasn't taking pictures.	Tom ei ottanut kuvia.
28308	You can guess what happened next.	Te voitte arvata, mitä seuraavaksi tapahtui.
44565	I must be going now.	Minun täytyy mennä nyt.
35039	He had dark brown hair.	Hänellä oli tummanruskeat hiukset.
47247	Tom is a generous man.	Tom on antelias mies.
65118	Tom walked to the window and looked out.	Tomi käveli ikkunalle ja katsoi ulos.
26043	Tom lives with his family in Boston.	Tomi asuu perheensä kanssa Bostonissa.
60969	Tom was too old.	Tom oli liian vanha.
1137	Tom and Mary are planning to get divorced.	Tomi ja Mari aikovat erota.
45684	Tom burst out laughing when he saw Mary dancing a jig.	Tom purskahti tahattomasti nauruun, kun hän näki Marin tanssivan gigueta.
20284	I won't be able to help you.	En pysty auttamaan teitä.
40854	Tom can't speak very much French.	Tom ei osaa puhua kovin paljon ranskaa.
24423	The project was a great success.	Projekti oli valtava menestys.
48712	You're fun to hang out with.	Seurassanne on kivaa olla.
43889	Do you want to know what this is about?	Haluatko tietää mistä tässä on kyse?
27735	Tom speaks French so badly that he is often misunderstood.	Tomi puhuu niin huonosti ranskaa, että usein ihmiset ymmärtävät hänet väärin.
545	Wages are finally starting to rise again.	Palkat ovat vihdoinkin alkaneet taas nousta.
67718	Tom drives a bus and Mary is a tour guide.	Tom ajaa bussia ja Mary on matkaopas.
47603	He's open and trusting.	Hän on avoin ja luottavainen.
62315	He took out the wallet from his inside jacket pocket.	Hän otti lompakon takin povitaskusta.
68163	What are you doing that for?	Mitä varten teet tämän?
16295	I got sick and couldn't go.	Sairastuin, joten en päässyt sinne.
50280	Don't be so crass.	Älkää olko niin törkeitä.
21221	There was only one case of chicken pox at the school.	Koulussa oli vain yksi vesirokkotapaus.
37964	I'm not going anywhere on Monday.	Minä en ole menossa mihinkään maanantaina.
51494	Have you practiced any today?	Oletko harjoitellut yhtään tänään?
14882	It doesn't seem very fair.	Eipä näytä kovin reilulta.
44268	Tom probably won't eat anything.	Tom ei luultavasti syö mitään.
23606	The roses are blooming early this year.	Ruusut kukkivat aikaisin tänä vuonna.
60700	She has a kind heart.	Hän on hyväsydäminen nainen.
50476	Do as you please.	Tee niin kuin lystäät.
29368	He has a grudge against you.	Hän kantaa kaunaa sinulle.
19239	This medicine will do you good.	Tämä lääke tekee sinulle hyvää.
46058	Do you know what Tom's favorite food is?	Tiedätkö mikä on Tomin suosikkiruoka?
3544	I liked your idea and implemented it.	Tykkäsin ajatuksestasi ja toteutin sen.
53724	Why don't you ask your teacher for advice?	Miksi et kysy sinun opettajaltasi neuvoa?
5898	Is the road wide enough for two-way traffic?	Onko tie tarpeeksi leveä kaksisuuntaiselle liikenteelle?
51038	I didn't know that you couldn't read.	En tiennyt, että et osaisi lukea.
47154	And why isn't this an interesting topic?	Ja miksei tämä olisi mielenkiintoinen keskustelunaihe?
22320	The strike lasted three days.	Lakko kesti kolme vuorokautta.
